roc_auc,pr_auc,rejected_precision,rejected_recall,rejected_f1,merged_precision,merged_recall,merged_f1,experiment,features_used,features_removed,delta_roc_auc,delta_rejected_f1,delta_merged_f1
0.8496490985485426,0.9458175857427342,0.6236652236652237,0.5944979367262724,0.6087323943661972,0.8789521228545619,0.8913966852669276,0.8851306649024148,BASELINE,54,0,,,
0.8488049554770263,0.9456036452277243,0.6228961114335462,0.5905089408528198,0.606270300804971,0.8779517874713021,0.8917714666444574,0.8848076684708507,No agent_identity,51,3,-0.0008441430715163678,-0.002462093561226175,-0.0003229964315640821
0.8496271890457296,0.945832794482709,0.6229555652048053,0.5920220082530949,0.6070949996473658,0.8783179487179488,0.8915216123927708,0.8848705284258819,No agent_interactions,51,3,-2.190950281300008e-05,-0.0016373947188313975,-0.0002601364765328906
0.834183446863699,0.9410130934196244,0.5473658772353794,0.6231086657496562,0.5827865688923196,0.8809109874826148,0.8440076621970517,0.8620645655225214,No pr_size_complexity,42,12,-0.015465651684843595,-0.025945825473877582,-0.023066099379893346
0.8490747831761138,0.945696407064599,0.6198931716471777,0.590646492434663,0.6049165316616186,0.8778174652050745,0.8903556258849005,0.8840420913357177,No pr_content_type,51,3,-0.0005743153724288019,-0.0038158627045785654,-0.0010885735666971152
0.8475012340921259,0.9451768389889155,0.6099590915502892,0.5947730398899588,0.6022703530886552,0.8782393056416615,0.8848588323477972,0.8815366425356261,No pr_metadata,47,7,-0.0021478644564167926,-0.006462041277542019,-0.0035940223667886295
0.8464373086355288,0.9445792675086202,0.6194379391100703,0.5821182943603851,0.6001985533966813,0.8757565843284802,0.8917298242691764,0.8836710271117897,No user_reputation,49,5,-0.0032117899130138516,-0.008533840969515927,-0.001459637790625079
0.8484576912894347,0.9453789128016382,0.6204105232726221,0.5903713892709767,0.6050183253453623,0.8777805138307477,0.8906471225118681,0.8841670111616371,No user_history,46,8,-0.001191407259107935,-0.0037140690208349314,-0.0009636537407776702
0.8394847102601428,0.9420702240646462,0.6089669181659896,0.5773039889958734,0.5927128936590877,0.8740160708428993,0.8877737986174732,0.8808412180308226,No repo_context,44,10,-0.010164388288399828,-0.016019500707109446,-0.004289446871592162
0.8494921062209355,0.9458484460114372,0.6206647398843931,0.5907840440165062,0.6053558844256519,0.8778936135281563,0.8906887648871492,0.8842449047087519,No temporal,51,3,-0.00015699232760713056,-0.0033765099405452803,-0.0008857601936628212
0.8480482041138542,0.9452576499872763,0.6200115673799884,0.5898211829436039,0.6045396870153673,0.8776263952724885,0.8905638377613059,0.8840477863668307,No all_agent,48,6,-0.0016008944346884713,-0.004192707350829883,-0.0010828785355840864
0.8442895530106292,0.9437476570267465,0.6147672552166934,0.5795048143053645,0.5966154499752178,0.8748720887397159,0.8900641292579329,0.8824027247393952,No all_user,41,13,-0.005359545537913402,-0.012116944390979434,-0.002727940163019582
0.8243629375299072,0.9377303433682864,0.5173455684870188,0.6359009628610729,0.5705294335431321,0.8815553964560587,0.8203964354126759,0.8498770544842759,No all_pr_quality,32,22,-0.025286161018635456,-0.03820296082306507,-0.0352536104181389
