experiment,features_used,features_removed,roc_auc_mean,roc_auc_std,rejected_f1_mean,merged_f1_mean,delta_roc_auc,roc_auc_t_pval,roc_auc_wilcox_pval,roc_auc_cohens_d,delta_rejected_f1,rejected_f1_wilcox_pval,delta_merged_f1,merged_f1_wilcox_pval
BASELINE,54,0,0.8515357160836963,0.012231817304800666,0.6098911916884702,0.885046934256013,,,,,,,,
No agent_identity,51,3,0.8500677179425388,0.012039281209913908,0.6063163510349294,0.8841260635379571,-0.0014679981411575005,0.002381457056833396,0.005859375,-0.1275061549103846,-0.003574840653540745,0.037109375,-0.0009208707180559106,0.193359375
No agent_interactions,51,3,0.851529388717896,0.01231016775188696,0.6079177759453177,0.8844373140929243,-6.327365800307128e-06,0.9879259192514256,0.921875,-0.0005435253235443366,-0.0019734157431524624,0.4921875,-0.0006096201630887421,0.6953125
No pr_size_complexity,42,12,0.835612303029176,0.009507703094744847,0.5848319330484574,0.8612328749334599,-0.015923413054520275,1.4146939850380411e-05,0.001953125,-1.5321871729162078,-0.025059258640012794,0.001953125,-0.023814059322553094,0.001953125
No pr_content_type,51,3,0.850743838875575,0.012731179539536086,0.6061432521769012,0.8833616362987702,-0.0007918772081212389,0.10280735830634755,0.10546875,-0.06686255763258003,-0.003747939511568932,0.16015625,-0.001685297957242815,0.064453125
No pr_metadata,47,7,0.8489614144129461,0.01290409233143546,0.6065352376471189,0.8820593974798399,-0.002574301670750123,0.0037372373881878144,0.005859375,-0.21583322362974938,-0.00335595404135125,0.375,-0.0029875367761731386,0.009765625
No user_reputation,49,5,0.8478261739492166,0.012588918822651288,0.6024055502225365,0.8832052634520581,-0.0037095421344797153,0.00014748436271776175,0.001953125,-0.3150427201321596,-0.007485641465933668,0.001953125,-0.0018416708039549201,0.013671875
No user_history,46,8,0.8489177062633708,0.011933526044065276,0.6056438936248687,0.8840802711740059,-0.002618009820325451,0.00034810637268728006,0.001953125,-0.2283778385096302,-0.004247298063601468,0.083984375,-0.000966663082007102,0.232421875
No repo_context,44,10,0.8414037508371457,0.012546726082205983,0.5945675607488111,0.8808845578140263,-0.010131965246550578,2.362093449465519e-09,0.001953125,-0.8619688859538447,-0.01532363093965905,0.001953125,-0.004162376441986693,0.001953125
No temporal,51,3,0.850833475170434,0.012996175940617126,0.6080151965898724,0.8842154642920953,-0.0007022409132623197,0.264154030300012,0.232421875,-0.05865606435562857,-0.0018759950985978158,0.375,-0.000831469963917697,0.275390625
No all_agent,48,6,0.8499210764920442,0.012553712336956008,0.6080174626012882,0.8841361508763883,-0.0016146395916520895,0.014868321897000604,0.037109375,-0.13732496970280658,-0.0018737290871819745,0.431640625,-0.0009107833796246911,0.322265625
No all_user,41,13,0.8458298670590801,0.012251068357317207,0.6016672685771174,0.8828146926865363,-0.0057058490246161275,3.0981169740198875e-06,0.001953125,-0.49132207627022056,-0.008223923111352782,0.005859375,-0.002232241569476656,0.005859375
No all_pr_quality,32,22,0.8259222580409281,0.010171160730615598,0.5707514168300921,0.8483764977482554,-0.025613458042768156,2.1704461922314876e-07,0.001953125,-2.400168558179509,-0.03913977485837805,0.001953125,-0.03667043650775759,0.001953125
